Date,AAPL,MSFT,JPM,BAC,JNJ,PFE,XOM,CVX,PG,KO
2015-07-21,29.167950,40.671181,51.845837,14.279166,74.115059,20.629738,51.066654,58.609119,60.069935,29.205030
2015-07-22,27.934301,39.174400,52.581146,14.571385,73.996902,20.477098,51.147945,58.365704,59.968323,28.999416
2015-07-23,27.920918,39.664722,52.250988,14.358143,74.011658,20.418392,50.741470,58.009937,59.871861,28.956877
2015-07-24,27.773684,39.518482,51.703285,14.137008,73.236084,20.113111,49.991043,56.549370,59.567688,28.673265
2015-07-27,27.387760,39.010960,51.028019,13.955359,72.593460,20.160080,49.565804,55.638088,59.330257,28.744167
2015-07-28,27.523832,39.002354,51.058014,14.121215,73.140060,20.753016,51.579453,57.672871,59.523167,28.751257
2015-07-29,27.436831,39.819557,51.725800,14.342352,73.664505,20.993717,51.992195,58.203400,59.812515,28.779619
2015-07-30,27.298525,40.327091,51.800816,14.318655,73.745758,20.976107,51.910896,58.066093,57.416142,28.758347
2015-07-31,27.059814,40.172241,51.418167,14.121215,74.019043,21.169840,49.534531,55.226147,56.904240,29.127052
2015-08-03,26.421810,40.266876,51.418167,14.034332,73.878700,21.222677,48.815361,53.428543,56.681664,29.453199
2015-08-04,25.574104,40.894833,51.365639,14.058028,73.716194,21.199198,48.258808,53.185131,56.318134,29.673000
2015-08-05,25.743643,40.929253,51.568218,14.113317,74.248032,21.193281,48.258808,52.448616,56.214264,29.864429
2015-08-06,25.799664,40.103447,51.208080,14.065927,73.177010,20.808699,48.834129,53.172649,56.191986,29.722630
2015-08-07,25.887064,40.206661,51.058014,14.018539,73.014465,20.820536,48.046192,52.273849,55.999104,29.616283
2015-08-10,26.828243,40.714199,51.688267,14.247578,73.708817,20.921112,49.246872,53.609550,56.666824,29.552462
2015-08-11,25.432154,39.922791,51.193062,14.050138,73.132675,20.779119,48.912323,53.540886,56.548096,29.410658
2015-08-12,25.824320,40.206661,50.450279,13.836891,72.911095,20.927027,49.732876,54.171314,56.674252,29.254679
2015-08-13,25.804144,40.198063,50.682873,13.915870,72.741203,20.921112,49.644531,53.584591,56.221676,29.141220
2015-08-14,25.985659,40.430309,50.937977,13.979050,72.984940,20.897449,49.461472,53.671963,56.102970,29.247580
2015-08-17,26.254580,40.705582,51.073032,14.034332,73.767899,21.003944,49.720253,52.603832,56.036201,29.318476
2015-08-18,26.106667,40.930714,51.178074,13.971157,73.398582,21.015783,49.171124,52.736565,55.739437,29.283033
2015-08-19,25.772778,40.359234,50.720379,13.789506,73.354248,20.867868,48.117016,51.137524,54.990108,28.914335
2015-08-20,25.243916,39.536636,49.474880,13.205070,72.970146,20.441866,47.069199,50.082039,54.834301,28.751257
2015-08-21,23.699926,37.293983,47.719177,12.715406,71.124321,19.844294,45.529034,47.882580,53.298542,28.028040
2015-08-24,23.108324,36.090385,45.205658,12.075691,69.084984,19.010056,43.376629,45.582005,51.295418,27.212654
2015-08-25,23.247261,35.042664,44.950554,12.051996,67.529411,18.542641,43.370323,44.254715,50.761250,26.936121
2015-08-26,24.580603,36.982243,47.201473,12.683818,70.789421,19.187548,45.762600,46.195053,52.601170,27.460814
2015-08-27,25.304422,38.012669,48.379452,12.983934,71.615562,19.678629,47.245930,49.070789,53.031479,27.843697
2015-08-28,25.387337,38.038639,48.116829,12.920750,70.834068,19.323633,47.384815,50.834164,52.831154,27.971321
2015-08-31,25.268568,37.683624,48.094322,12.904958,69.948357,19.063299,47.492104,51.188087,52.430523,27.879148
2015-09-01,24.139153,36.211628,46.106022,12.304724,68.541656,18.554476,45.497482,49.418423,51.117363,27.474995
2015-09-02,25.174446,37.545086,46.946358,12.558267,69.479462,18.915386,46.223366,49.336254,51.792496,27.581352
2015-09-03,24.732986,37.666302,47.028900,12.629579,68.951012,18.868053,46.576859,49.462650,51.881527,27.765694
2015-09-04,24.486483,36.895668,46.143543,12.399800,67.961082,18.560392,45.737347,48.457729,51.013493,27.311924
2015-09-08,25.167727,38.004005,47.389053,12.803886,69.918602,19.246712,46.393806,48.565166,51.918625,27.581352
2015-09-09,24.683691,37.293983,46.653736,12.597883,68.638435,18.909468,45.446983,47.351681,50.805763,27.155933
2015-09-10,25.225990,37.484478,47.013893,12.708807,69.010567,19.299963,45.775208,47.819374,50.687042,27.241018
2015-09-11,25.593504,37.648987,46.938869,12.708807,69.166847,19.507050,45.882538,47.901524,50.761250,27.269625
2015-09-14,25.839996,37.268002,46.803822,12.645422,69.457138,19.353210,45.756283,47.888905,50.494152,27.248165
2015-09-15,26.057377,38.081944,47.704185,12.922734,70.260948,19.625381,45.989822,48.773750,51.525398,27.534235
2015-09-16,26.086504,38.359013,48.124332,12.938581,70.417267,19.631294,46.898754,49.942993,52.007648,27.999105
2015-09-17,25.528511,38.315723,47.006405,12.566191,70.588440,19.808792,46.999760,50.189491,52.111523,28.163589
2015-09-18,25.423197,37.648987,45.723373,12.328496,69.509232,19.436045,45.876213,49.134003,51.888939,27.877527
2015-09-21,25.817589,38.194492,46.106022,12.439417,69.315704,19.181637,46.324364,49.355209,52.415699,28.027700
2015-09-22,25.411993,38.012669,45.700871,12.336418,69.397568,19.086966,45.914085,48.824306,52.074421,27.741640
2015-09-23,25.618147,37.986691,45.498283,12.455264,69.211494,19.299963,45.636353,48.110123,52.126358,27.720179
2015-09-24,25.770538,38.021328,45.183163,12.320573,68.831902,19.347301,45.907776,48.596771,52.942455,27.999105
2015-09-25,25.705547,38.047298,46.121037,12.589964,67.730370,18.868053,46.223366,49.108711,53.914345,28.335236
2015-09-28,25.196861,37.484478,45.003098,12.257187,68.005775,18.234970,45.825718,47.888905,53.246635,28.270866
2015-09-29,24.439425,37.614349,44.898045,12.162107,69.248726,18.353308,46.059261,48.192257,53.624992,28.363848
2015-09-30,24.717300,38.324387,45.745884,12.344340,69.479462,18.584057,46.930355,49.854511,53.372757,28.692816
